Date,Close,High,Low,Open,Volume
2015-01-02,169.68785095214844,170.8855799305739,168.6553346631324,170.47257341496748,121465900
2015-01-05,166.62338256835938,168.81231249174675,166.3177617197252,168.64711237367317,169632600
2015-01-06,165.05392456054688,167.44935723130908,164.26094653071848,166.9289650053605,209151400
2015-01-07,167.11062622070312,167.4492944504234,165.92943411737363,166.3754754266989,125346700
2015-01-08,170.07608032226562,170.2908517797395,168.4984049909054,168.51491617689666,147217800
2015-01-09,168.7131805419922,170.50562750822505,168.10192629293343,170.48910371663968,158567300
2015-01-12,167.39157104492188,169.00230687873824,166.78858493404508,168.845362353067,144396100
2015-01-13,166.92074584960938,169.72918563555,165.62389909993922,168.60580720038158,214553300
2015-01-14,165.91294860839844,166.1111962382504,164.02138464722543,164.91346747166824,192991100
2015-01-15,164.3931427001953,166.86291398308043,164.277501361906,166.54903755284403,176613900
2015-01-16,166.5489959716797,166.70594044959492,164.00487456052744,164.18659841874955,211879600
2015-01-20,166.90419006347656,167.44936168573867,165.3430259480595,167.18503146744484,130991100
2015-01-21,167.74667358398438,168.22576249946007,165.97900677362105,166.44157190471358,122942700
2015-01-22,170.24131774902344,170.3734702759483,167.12724459882256,168.49842947284804,174356000
2015-01-23,169.30787658691406,170.24127526039032,169.17571148901422,169.98520065672528,117516800
2015-01-26,169.7043914794922,169.7952534260455,168.3827780615787,169.09314984264265,92009700
2015-01-27,167.46585083007812,168.60573999976427,166.63983797473307,167.65583025769982,134044600
2015-01-28,165.31822204589844,168.74617055474414,165.12824260715124,168.64705303956416,168514300
2015-01-29,166.8463592529297,167.1024212491774,164.11224581839372,165.51647790768044,173585400
2015-01-30,164.74830627441406,166.9950628601836,164.48398864289024,165.6734494946458,197729700
2015-02-02,166.78854370117188,166.87940563546837,163.4349329327051,165.24390342208943,163107000
2015-02-03,169.2005157470703,169.20878394437813,167.3089513455954,167.68065470962785,124212900
2015-02-04,168.5562286376953,169.64657196321926,168.101918918727,168.4405873095906,134306700
2015-02-05,170.25779724121094,170.40648613676643,169.14268724235677,169.2170253881554,97953200
2015-02-06,169.78697204589844,171.18293601095024,169.26657983067707,170.6212406255758,125672000
2015-02-09,169.0270233154297,169.86129180480972,168.6222724580705,169.1426646169671,87219000
2015-02-10,170.82778930664062,171.08385138415224,169.06837714263187,170.05960307410575,96164200
2015-02-11,170.92684936523438,171.35637961746548,170.01824270561735,170.6625317819855,91087800
2015-02-12,172.5706329345703,172.62845989396322,170.9599101194834,171.719840560346,97545900
2015-02-13,173.281005859375,173.33056462266381,172.43846907159076,172.69454368851316,93670400
2015-02-17,173.5535888671875,173.72705713986363,172.7193202893553,172.9671141018099,76968200
2015-02-18,173.57012939453125,173.64446754543653,172.91757201491595,173.18190224563585,80652900
2015-02-19,173.4462432861328,173.8096911004554,172.8350016020092,172.97542232955007,91462500
2015-02-20,174.4869842529297,174.56132239525118,172.4136836324964,173.03319335975746,140896400
2015-02-23,174.46221923828125,174.46221923828125,173.85922064591023,174.2391921889939,74411100
2015-02-24,174.957763671875,175.15601127508992,174.0904477382474,174.38781284109243,72472300
2015-02-25,174.80911254882812,175.31298091762983,174.47044423780673,174.83389192729734,73061700
2015-02-26,174.60263061523438,174.87521641558922,173.99963205507456,174.7182719301766,72697900
2015-02-27,174.00794982910156,174.76788048723196,173.95839105200025,174.5035502040762,108076000
2015-03-02,175.10650634765625,175.16432070555928,174.05746627296082,174.10702503800874,87491400
2015-03-03,174.38783264160156,175.15603116282256,173.52878480470744,174.67694218695533,110325800
2015-03-04,173.65272521972656,173.86749668575007,172.6862914344985,173.79314592999464,114497200
2015-03-05,173.8426971435547,174.12353853152536,173.33882872209776,173.97484964121526,76873000
2015-03-06,171.3976593017578,173.41313258921616,171.06725921697512,172.9836023958344,188128000
2015-03-09,172.1080322265625,172.4632116903932,171.43896385686813,171.59590830979997,89818900
2015-03-10,169.31619262695312,170.82779838845576,169.274889443619,170.74520462574947,157121300
2015-03-11,168.919677734375,169.74569082843064,168.83707138338562,169.57222253293673,110145700
2015-03-12,171.06729125976562,171.13336120593354,169.4978590531875,169.54741781479228,93993500
2015-03-13,170.0182342529297,171.75285375539067,168.98571814290895,170.79468838429833,162410900
2015-03-16,172.289794921875,172.3806568570192,170.0430385291803,170.74515462838175,136099200
2015-03-17,171.7776336669922,172.15759251056483,170.96813201877035,171.55460667379185,94510400
2015-03-18,173.8426971435547,174.51176564005567,170.67079772450302,171.30683124757832,228808500
2015-03-19,173.0497283935547,173.85096203452886,172.6615012642596,173.4296999300412,117917300
2015-03-20,174.57723999023438,175.08335767044954,173.81391724732686,173.99645232282884,177715100
2015-03-23,174.23703002929688,175.1579976944319,174.23703002929688,174.5855025701291,71784500
2015-03-24,173.25799560546875,174.56891073329592,173.1916180726312,174.112585767895,77805300
2015-03-25,170.7191162109375,173.6977496835964,170.6776413272634,173.46543463004932,159521700
2015-03-26,170.3125457763672,171.22520830472868,169.35838305008411,170.05534076691788,153067200
2015-03-27,170.70252990722656,170.87675986583287,170.00557209213895,170.19641226043072,118939000
2015-03-30,172.7850341796875,173.08372670196508,171.71472669332005,171.73131157884472,96180400
2015-03-31,171.27499389648438,172.66060427186957,171.21692146997367,171.963646532205,126768700
2015-04-01,170.66929626464844,171.26668130825644,169.6819511881236,171.24179131979093,137303600
2015-04-02,171.2832794189453,171.73131187302016,170.4203842819018,170.6029193047295,86900900
2015-04-06,172.43655395507812,172.950963908092,170.26274398824668,170.39548636758687,114368200
2015-04-07,171.98025512695312,173.20820786869345,171.94707268970402,172.46148275849654,81236300
2015-04-08,172.56100463867188,173.00074463141883,171.81427969330997,172.20423971106177,89351900
2015-04-09,173.3243408203125,173.55665582878575,171.90556078000932,172.3950807864195,85548900
2015-04-10,174.27023315429688,174.3117206984161,173.37416803447064,173.57328798988937,72722900
2015-04-13,173.48199462890625,174.7597399003102,173.4322146474628,174.12915970810909,74436600
2015-04-14,173.81385803222656,173.9963930455423,172.66057553548654,173.2828505371855,75099900
2015-04-15,174.59376525878906,175.09988276617088,174.19551280288417,174.27848786713062,99529300
2015-04-16,174.54400634765625,175.05012391611444,174.06277876943213,174.26191135152382,68934900
2015-04-17,172.53611755371094,173.59813257219798,171.75619750508687,173.35752513560135,191113200
2015-04-20,174.112548828125,174.44442376168223,173.37411633977555,173.45707874305626,92189500
2015-04-21,173.90513610839844,174.95055361711223,173.60644358302048,174.7929085814658,72559800
2015-04-22,174.7597198486328,174.942254866461,173.32432969387318,174.24529722556355,78264600
2015-04-23,175.1995086669922,175.84667385227195,174.2453457787927,174.3615033079398,102585900
2015-04-24,175.60604858398438,175.87155873444283,175.1580160303617,175.6143536888242,61327400
2015-04-27,174.8759002685547,176.29468040375724,174.68506012294367,176.17023044811464,79358100
2015-04-28,175.43177795410156,175.48155793071655,173.68111036857317,174.8509904598969,86863500
2015-04-29,174.70999145507812,175.3073640004478,173.90518118255187,174.54404127335286,125684900
2015-04-30,172.95933532714844,174.52746843505437,172.26237743235072,174.1375082694705,161304900
2015-05-01,174.83436584472656,174.8758533722215,173.63959595008126,173.7391558878964,103399700
2015-05-04,175.3322296142578,175.9130171469318,175.14969458110048,175.25754698417074,70927200
2015-05-05,173.3243408203125,175.44838364955402,173.1832933266122,175.09160603354397,113326200
2015-05-06,172.6107635498047,174.1788958718779,171.54874867878237,173.8719109567246,135060200
2015-05-07,173.2994384765625,173.7225935877157,172.1793510498914,172.51122599256044,88244900
2015-05-08,175.58106994628906,175.78020245859915,174.88412514352538,174.96710018870817,155877300
2015-05-11,174.7431182861328,175.80513327805429,174.66844832425178,175.53963586018259,75708100
2015-05-12,174.220458984375,174.75977175549593,173.09206611183717,173.91347393603724,119727600
2015-05-13,174.25364685058594,175.24928460026194,174.02133179766892,174.62700942418684,94667900
2015-05-14,176.07066345214844,176.1619309693813,174.99205079218353,175.26585334388207,95934000
2015-05-15,176.2615203857422,176.40256790681514,175.7802927290234,176.2615203857422,76510100
2015-05-18,176.80911254882812,177.0580124734228,176.02919235784495,176.0955698911435,74549700
2015-05-19,176.7509765625,177.19902161819152,176.46888162237798,176.92521911976144,72114600
2015-05-20,176.6266326904297,177.3733580179938,176.31134247379313,176.85064269256458,76857500
2015-05-21,177.14096069335938,177.34838570588087,176.31955308609574,176.48550322428738,64764600
2015-05-22,176.71778869628906,177.17411351941092,176.65141118414758,176.75926356368856,57433500
