Date,Close,High,Low,Open,Volume,Shares,Cash,Position_value,Total_value,Portfolio_return,Portfolio_return_1d%
2015-01-02,11.677470207214355,11.810780053154632,11.59905315353289,11.7659699419016,2624000,8563.0,5.822615623474121,99994.17738437653,100000.0,0.0,0.0
2015-01-05,11.47694492340088,11.633779875902702,11.447819079338135,11.628179146512974,4528800,8563.0,5.822615623474121,98277.07937908174,98282.90199470521,-1.7170980052947815,-1.7170980052947815
2015-01-06,11.329071044921877,11.516153165446545,11.26633741198808,11.501589390171452,3889600,8563.0,5.822615623474121,97010.83535766603,97016.6579732895,-2.9833420267105004,-1.2883665375325704
2015-01-07,11.42989444732666,11.4590211454424,11.346996303885252,11.411970917112008,3080800,8563.0,5.822615623474121,97874.18615245819,97880.00876808167,-2.119991231918339,0.8898995418187505
2015-01-08,11.68755340576172,11.716679252886406,11.518395634264824,11.51951612213326,5625600,8563.0,5.822615623474121,100080.51981353761,100086.34242916109,0.08634242916107926,2.254120824924666
2015-01-09,11.657307624816896,11.75700969011042,11.567688242194068,11.743567252792056,3383200,8563.0,5.822615623474121,99821.52519130708,99827.34780693056,-0.17265219306944468,-0.2587711928966119
2015-01-12,11.509429931640623,11.692030937841135,11.470221415017727,11.692030937841135,3072800,8563.0,5.822615623474121,98555.24850463866,98561.07112026213,-1.4389288797378663,-1.2684667222828017
2015-01-13,11.50719165802002,11.761487667798129,11.408609252196646,11.606893696868331,3674400,8563.0,5.822615623474121,98536.08216762543,98541.9047832489,-1.4580952167510985,-0.019446153329483185
2015-01-14,11.437736511230469,11.495989909291293,11.325711666155378,11.409730299961696,3972000,8563.0,5.822615623474121,97941.3377456665,97947.16036128998,-2.0528396387100245,-0.6035446780403908
2015-01-15,11.262980461120604,11.499353003700044,11.250657657123996,11.4836695903738,3420800,8563.0,5.822615623474121,96444.90168857573,96450.7243041992,-3.549275695800791,-1.527799327281143
2015-01-16,11.373881340026855,11.3873246278877,11.217046400376976,11.230489688237824,3829600,8563.0,5.822615623474121,97394.54591464996,97400.36853027344,-2.59963146972656,0.9845900411064923
2015-01-20,11.45902156829834,11.4881482674889,11.314509414795088,11.446698766897786,6254400,8563.0,5.822615623474121,98123.60168933868,98129.42430496216,-1.870575695037846,0.7485143903353197
2015-01-21,11.480305671691896,11.540798331551342,11.366039859331428,11.41869166946991,2766400,8563.0,5.822615623474121,98305.85746669771,98311.68008232118,-1.6883199176788155,0.18572999755162023
2015-01-22,11.697632789611816,11.706594981323985,11.42093131694055,11.53519712456658,4641600,8563.0,5.822615623474121,100166.82957744598,100172.65219306946,0.17265219306945578,1.8929308391332444
2015-01-23,11.73011875152588,11.776049337784634,11.6606630557254,11.692030723129244,3945600,8563.0,5.822615623474121,100445.00686931612,100450.82948493959,0.4508294849395966,0.27769784045847956
2015-01-26,11.695393562316896,11.730120989501966,11.64386223805844,11.730120989501966,3327200,8563.0,5.822615623474121,100147.65507411958,100153.47768974306,0.15347768974305342,-0.2960172620984802
2015-01-27,11.357080459594728,11.50495324660305,11.301068027323666,11.50495324660305,4848000,8563.0,5.822615623474121,97250.67997550966,97256.50259113313,-2.7434974088668684,-2.8925357016400532
2015-01-28,11.341398239135742,11.587853479844798,11.338037629595314,11.566568479846122,3857600,8563.0,5.822615623474121,97116.39312171936,97122.21573734283,-2.877784262657168,-0.13807493608405386
2015-01-29,11.452301025390623,11.471345045155834,11.242814243927928,11.332434467630486,5528000,8563.0,5.822615623474121,98066.05368041991,98071.87629604338,-1.928123703956619,0.977799519389877
2015-01-30,11.293225288391112,11.484787686680706,11.279782852871584,11.410851727277862,3404800,8563.0,5.822615623474121,96703.88814449309,96709.71076011656,-3.290289239883437,-1.3889461356025645
2015-02-02,11.391807556152344,11.400768894819295,11.13751066164279,11.31451013421252,29252800,8563.0,5.822615623474121,97548.04810333252,97553.870718956,-2.446129281044007,0.8728802435707061
2015-02-03,11.532957077026367,11.537438173242917,11.406369313965246,11.427654307323431,3702400,8563.0,5.822615623474121,98756.71145057678,98762.53406620026,-1.2374659337997418,1.2389701590891367
2015-02-04,11.550881385803224,11.628178799336531,11.52175468792837,11.53407748877228,3239200,8563.0,5.822615623474121,98910.19730663301,98916.01992225648,-1.0839800777435182,0.15540898935759717
2015-02-05,11.66850757598877,11.672987817404112,11.57552675500912,11.61249515679838,2684000,8563.0,5.822615623474121,99917.43037319183,99923.25298881531,-0.07674701118469685,1.018270920474218
2015-02-06,11.6214599609375,11.73796593016849,11.586732524178569,11.70547861478545,2925600,8563.0,5.822615623474121,99514.56164550781,99520.38426113129,-0.47961573886871056,-0.40317815486763386
2015-02-09,11.59456729888916,11.651700188658255,11.575523287193272,11.59008620413458,2535200,8563.0,5.822615623474121,99284.27978038788,99290.10239601135,-0.7098976039886518,-0.23139165592015454
2015-02-10,11.769330978393556,11.783894756522088,11.631540885534058,11.68419270406869,2587200,8563.0,5.822615623474121,100780.78116798402,100786.6037836075,0.7866037836074868,1.5072009711778245
2015-02-11,11.81861972808838,11.846625935974846,11.762607312315447,11.782771816180968,2228800,8563.0,5.822615623474121,101202.8407316208,101208.66334724428,1.2086633472442765,0.41876553806987626
2015-02-12,12.005701065063477,12.01130264854768,11.907119520385663,11.912720249188224,2700000,8563.0,5.822615623474121,102804.81822013855,102810.64083576202,2.810640835762035,1.5828462065756277
2015-02-13,12.103163719177246,12.103163719177246,12.018024602148603,12.052752028772185,2482400,8563.0,5.822615623474121,103639.39092731476,103645.21354293823,3.6452135429382304,0.8117571297988624
2015-02-17,12.108766555786133,12.118849237494658,12.070678514109543,12.10540594677724,2540000,8563.0,5.822615623474121,103687.36801719666,103693.19063282013,3.6931906328201203,0.04628973036175932
2015-02-18,12.131170272827148,12.134530881346407,12.076278339421895,12.098682966004771,2045600,8563.0,5.822615623474121,103879.21104621887,103885.03366184235,3.885033661842341,0.18501024787782594
2015-02-19,12.17934226989746,12.189424096515385,12.096444117205705,12.111007040547747,1850400,8563.0,5.822615623474121,104291.70785713194,104297.53047275542,4.297530472755429,0.3970704887633625
2015-02-20,12.256638526916504,12.261118768532684,12.119968081216358,12.18830330406643,2027200,8563.0,5.822615623474121,104953.59570598602,104959.4183216095,4.959418321609488,0.634615072719269
2015-02-23,12.256638526916504,12.256638526916504,12.189422937129612,12.252157430618595,2875200,8563.0,5.822615623474121,104953.59570598602,104959.4183216095,4.959418321609488,0.0
2015-02-24,12.286885261535645,12.30704976819668,12.19054382467533,12.257758561984868,2441600,8563.0,5.822615623474121,105212.59849452972,105218.4211101532,5.218421110153204,0.24676469504631982
2015-02-25,12.224153518676758,12.2712037566306,12.191666205418564,12.26448253826059,2842400,8563.0,5.822615623474121,104675.42658042908,104681.24919605255,4.68124919605255,-0.5105302934913625
2015-02-26,12.29920768737793,12.30704939224647,12.2252708803188,12.249916482671845,2742400,8563.0,5.822615623474121,105318.11542701721,105323.93804264069,5.323938042640686,0.6139483924045175
2015-02-27,12.234234809875488,12.307051139525202,12.224152982762469,12.298088945636838,6551200,8563.0,5.822615623474121,104761.7526769638,104767.57529258728,4.767575292587289,-0.5282396009805068
2015-03-02,12.349617958068848,12.35521954186704,12.235352998848246,12.247675799458918,4373600,8563.0,5.822615623474121,105749.77857494354,105755.60119056702,5.755601190567017,0.9430645838852891
2015-03-03,12.254399299621582,12.328336117062191,12.203988454771602,12.328336117062191,3115200,8563.0,5.822615623474121,104934.4212026596,104940.24381828308,4.9402438182830855,-0.7709826837584699
2015-03-04,12.212950706481934,12.23647668083036,12.14013522618736,12.224153877002866,11241600,8563.0,5.822615623474121,104579.4968996048,104585.31951522827,4.58531951522827,-0.33821562647539105
2015-03-05,12.20846939086914,12.244317311212413,12.164778909977748,12.211829999857285,2738400,8563.0,5.822615623474121,104541.12339401245,104546.94600963593,4.5469460096359215,-0.036691101361274736
2015-03-06,12.070676803588867,12.227511754339824,12.047151689178484,12.21967004953636,2740800,8563.0,5.822615623474121,103361.20546913147,103367.02808475494,3.3670280847549527,-1.1286010447136618
2015-03-09,12.121089935302734,12.170381148929932,12.069558600456975,12.114368716965163,2624000,8563.0,5.822615623474121,103792.89311599731,103798.71573162079,3.798715731620783,0.41762606013193704
2015-03-10,11.881356239318848,12.0460329183444,11.8779956303072,12.040432188218931,3148800,8563.0,5.822615623474121,101740.05347728729,101745.87609291077,1.7458760929107697,-1.9777119825044709
2015-03-11,11.816380500793455,11.91720217306118,11.805177333046643,11.888076330028229,2815200,8563.0,5.822615623474121,101183.66622829436,101189.48884391783,1.1894888439178297,-0.5468400984476873
2015-03-12,11.886956214904783,11.89255779895377,11.776051859125056,11.78837466028744,2910400,8563.0,5.822615623474121,101788.00606822966,101793.82868385313,1.793828683853138,0.5972357868784917
2015-03-13,11.826459884643556,11.89927618655684,11.754764070209973,11.86342827934005,2265600,8563.0,5.822615623474121,101269.97599220277,101275.79860782625,1.2757986078262507,-0.5089012592656927
2015-03-16,11.968731880187988,11.970972855307323,11.852226814430091,11.86118815086268,2652000,8563.0,5.822615623474121,102488.25109004974,102494.07370567322,2.4940737056732276,1.2029281571647177
2015-03-17,11.98105812072754,12.0034636049487,11.916084353190753,11.951932273262775,2145600,8563.0,5.822615623474121,102593.80068778993,102599.6233034134,2.599623303413412,0.1029811714219564
2015-03-18,12.125570297241213,12.171500898914823,11.918324482473388,11.95753301153511,1919200,8563.0,5.822615623474121,103831.2584552765,103837.08107089998,3.8370810708999725,1.2061036168009132
2015-03-19,12.115487098693848,12.155816111072015,12.09868320108932,12.122208315862965,2185600,8563.0,5.822615623474121,103744.91602611542,103750.73864173889,3.7507386417388933,-0.08315182617867345
2015-03-20,12.184940338134766,12.242073240535069,12.16589632222854,12.167016809835266,2705600,8563.0,5.822615623474121,104339.644115448,104345.46673107147,4.345466731071479,0.5732278122724921
2015-03-23,12.18830394744873,12.244316372106708,12.18830394744873,12.193904677105465,2020800,8563.0,5.822615623474121,104368.44670200348,104374.26931762695,4.374269317626944,0.027603102902129528
2015-03-24,12.154699325561523,12.230876277180894,12.147978106345166,12.205110179048196,2642400,8563.0,5.822615623474121,104080.69032478333,104086.5129404068,4.086512940406806,-0.27569666269420257
2015-03-25,11.82086181640625,12.158056854800956,11.818621695462353,12.153575758231383,2816000,8563.0,5.822615623474121,101222.03973388672,101227.8623495102,1.2278623495102003,-2.7464178692711894
2015-03-26,11.828702926635742,11.876873643982968,11.6886718709382,11.750285877317811,3288000,8563.0,5.822615623474121,101289.18316078186,101295.00577640533,1.2950057764053335,0.06632899810066206
2015-03-27,11.857829093933104,11.885835303817068,11.772689976574986,11.825341787905906,2111200,8563.0,5.822615623474121,101538.59053134917,101544.41314697264,1.5444131469726452,0.246218822592148
2015-03-30,11.992262840270996,12.002344668462298,11.92952833102466,11.939611013897904,3564800,8563.0,5.822615623474121,102689.74670124054,102695.56931686401,2.6955693168640105,1.1336479617300332
2015-03-31,11.93288516998291,12.307048567137835,11.87575311892035,11.955290650020684,8274400,8563.0,5.822615623474121,102181.29571056366,102187.11832618713,2.187118326187143,-0.4951050897902598
