Date,Close,High,Low,Open,Volume,RSI,Trade,Shares,Cash,Position_value,Total_value,Portfolio_return,Portfolio_return_1d%
2015-01-22,11.697633743286133,11.706595935728965,11.420932248056191,11.535198064997983,4641600,57.300763776755936,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-01-23,11.730117797851562,11.7760483803761,11.660662107697926,11.692029772551535,3945600,58.72815228215243,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-01-26,11.695394515991213,11.730121946008053,11.643863187530751,11.730121946008053,3327200,56.5519228369637,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-01-27,11.357078552246094,11.504951314420136,11.301066129381962,11.504951314420136,4848000,40.71950498527046,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-01-28,11.341391563415527,11.587846659057265,11.338030955853206,11.566561671587264,3857600,40.15810186244906,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-01-29,11.452300071716309,11.471344089895656,11.24281330769833,11.33243352393789,5528000,45.84316829208805,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-01-30,11.293221473693848,11.48478380727628,11.27977904271499,11.410847872847992,3404800,39.97679458029763,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-02,11.391804695129396,11.400766031545729,11.137507864485846,11.314507292602617,29252800,44.69959253545315,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-03,11.532957077026367,11.537438173242917,11.406369313965246,11.427654307323431,3702400,50.682977175419154,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-04,11.550881385803224,11.628178799336531,11.52175468792837,11.53407748877228,3239200,51.402054166689645,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-05,11.668509483337402,11.672989725485092,11.575528647158992,11.612497054991156,2684000,55.94205675208956,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-06,11.62145709991455,11.737963040463582,11.586729671704976,11.705475733078412,2925600,53.77785903921872,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-09,11.59457302093506,11.65170593889986,11.575528999840742,11.59009192396901,2535200,52.52747548883485,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-10,11.769330978393556,11.783894756522088,11.631540885534058,11.68419270406869,2587200,59.172795086675706,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-11,11.81861972808838,11.846625935974846,11.762607312315447,11.782771816180968,2228800,60.83787587374009,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-12,12.00570297241211,12.011304556786238,11.907121412072623,11.912722141764972,2700000,66.4336652226163,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-13,12.10316276550293,12.10316276550293,12.018023655182862,12.052751079070076,2482400,68.92473150350287,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-17,12.108769416809082,12.118852100899913,12.070681366133169,12.105408807006151,2540000,69.06695350983331,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-18,12.131168365478516,12.134528973469395,12.076276440703763,12.098681063764026,2045600,69.66428433531334,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-19,12.17934226989746,12.189424096515385,12.096444117205705,12.111007040547747,1850400,70.96299654839811,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-20,12.256637573242188,12.261117814509769,12.119967138176206,12.188302355709196,2027200,72.96305307784063,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-23,12.256637573242188,12.256637573242188,12.18942198868526,12.25215647729295,2875200,72.96305307784064,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-24,12.286885261535645,12.30704976819668,12.19054382467533,12.257758561984868,2441600,73.78262693765723,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-25,12.22415256500244,12.271202799285634,12.191665254278766,12.264481581439984,2842400,69.1039831521303,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-26,12.299208641052246,12.307050346528827,12.225271828260093,12.249917432524144,2742400,71.43763773187567,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-02-27,12.234233856201172,12.30705018017476,12.22415202987404,12.29808798698501,6551200,66.73813583055286,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-03-02,12.349617958068848,12.35521954186704,12.235352998848246,12.247675799458918,4373600,70.45513574202423,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-03-03,12.254399299621582,12.328336117062191,12.203988454771602,12.328336117062191,3115200,64.09014219141675,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-03-04,12.212947845458984,12.236473814296184,12.140132382222268,12.224151013355446,11241600,61.48600428841104,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-03-05,12.208466529846191,12.244314441788598,12.164776059193548,12.211827138046786,2738400,61.196503469213,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-03-06,12.07067584991455,12.227510788274364,12.047150737362829,12.219669084090455,2740800,52.94229744766797,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-03-09,12.121087074279783,12.170378276272444,12.069555751597315,12.114365857528671,2624000,55.31686441924493,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-03-10,11.881354331970217,12.046030984559742,11.877993723498054,12.040430255333376,3148800,43.95713738177898,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-03-11,11.816381454467772,11.917203134872594,11.805178285816774,11.888077289488956,2815200,41.4714365815561,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-03-12,11.886958122253418,11.892559707201215,11.776053748678278,11.788376551817946,2910400,45.1029071468536,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-03-13,11.826459884643556,11.89927618655684,11.754764070209973,11.86342827934005,2265600,42.65949551993083,0,0.0,100000.0,0.0,100000.0,0.0,0.0
2015-03-16,11.968731880187988,11.970972855307323,11.852226814430091,11.86118815086268,2652000,49.57745824955061,0,0.0,100000.0,0.0,100000.0,0.0,0.0
