Date,Close,High,Low,Open,Volume,Trade,Shares,Cash,Position_value,Total_value,Portfolio_return,Portfolio_return_1d
2015-03-16,11.968735694885254,11.970976670718835,11.85223059199464,11.8611919312834,2652000,1,8355.0,1.2132692337036133,99998.7867307663,100000.0,0.0,0.0
2015-03-17,11.98105812072754,12.0034636049487,11.916084353190753,11.951932273262775,2145600,0,8355.0,1.2132692337036133,100101.7405986786,100102.9538679123,0.10295386791230321,0.001029538679123032
2015-03-18,12.125569343566896,12.171499941628072,11.918323545098923,11.957532071076905,1919200,0,8355.0,1.2132692337036133,101309.13186550142,101310.34513473512,1.3103451347351136,0.012061494892708025
2015-03-19,12.115484237670898,12.155813240525536,12.098680344034545,12.122205453252828,2185600,0,8355.0,1.2132692337036133,101224.87080574036,101226.08407497406,1.2260840749740654,-0.0008317122960048717
2015-03-20,12.184941291809082,12.242074198680983,12.165897274412345,12.167017762106768,2705600,0,8355.0,1.2132692337036133,101805.18449306488,101806.39776229858,1.8063977622985838,0.005732847344906755
2015-03-23,12.188300132751465,12.244312539878663,12.188300132751465,12.19390086065528,2020800,0,8355.0,1.2132692337036133,101833.24760913849,101834.46087837219,1.8344608783722016,0.0002756517929169977
2015-03-24,12.154692649841309,12.230869559622043,12.147971434316442,12.20510347564085,2642400,0,8355.0,1.2132692337036133,101552.45708942413,101553.67035865784,1.5536703586578327,-0.0027573231820779975
2015-03-25,11.820860862731934,12.15805587392268,11.818620741968765,12.153574777714631,2816000,0,8355.0,1.2132692337036133,98763.2925081253,98764.50577735901,-1.235494222640987,-0.02746493131610428
2015-03-26,11.828706741333008,11.876877474215048,11.688675640476152,11.750289666725973,3288000,0,8355.0,1.2132692337036133,98828.84482383728,98830.05809307098,-1.1699419069290173,0.0006637234216484433
2015-03-27,11.857828140258787,11.885834347890333,11.772689029748044,11.825340836844404,2111200,0,8355.0,1.2132692337036133,99072.15411186217,99073.36738109587,-0.926632618904133,0.0024618956289164107
2015-03-30,11.99226188659668,12.002343713986232,11.92952738233925,11.939610064410678,3564800,0,8355.0,1.2132692337036133,100195.34806251526,100196.56133174896,0.19656133174896784,0.011336991770276805
2015-03-31,11.932887077331545,12.30705053429263,11.875755017137015,11.955292560950602,8274400,0,8355.0,1.2132692337036133,99699.27153110506,99700.48480033876,-0.29951519966123774,-0.004951033496725543
2015-04-01,11.83766269683838,11.893675107654891,11.767087366894934,11.885833404327842,3760000,0,8355.0,1.2132692337036133,98903.67183208467,98904.88510131837,-1.0951148986816261,-0.007979897997624219
2015-04-02,11.836545944213867,11.892558368660048,11.815260949426154,11.846627770366933,4303200,0,8355.0,1.2132692337036133,98894.34136390686,98895.55463314056,-1.1044453668594412,-9.433778896006384e-05
2015-04-06,11.947449684143066,11.96873382314242,11.731241702834476,11.771570714713508,2370400,0,8355.0,1.2132692337036133,99820.94211101532,99822.15538024902,-0.17784461975097754,0.009369488351076427
2015-04-07,11.934004783630373,12.02698559594362,11.934004783630373,11.93624575881086,3284800,0,8355.0,1.2132692337036133,99708.60996723177,99709.82323646547,-0.29017676353453314,-0.00112532276382582
2015-04-08,11.976574897766112,12.011302321313462,11.885834204947685,11.885834204947685,1878400,0,8355.0,1.2132692337036133,100064.28327083586,100065.49654006957,0.06549654006957617,0.0035670838846098007
2015-04-09,12.02586841583252,12.03259048854115,11.921685263008124,11.97545757126794,1864800,0,8355.0,1.2132692337036133,100476.1306142807,100477.3438835144,0.4773438835144139,0.0041157777424301045
2015-04-10,12.07851505279541,12.07851505279541,11.994496444789132,12.011300337326682,1397600,0,8355.0,1.2132692337036133,100915.99326610565,100917.20653533936,0.9172065353393544,0.004377729693321619
2015-04-13,12.028108596801758,12.134531863708592,12.022507012361697,12.078519438035146,2140800,0,8355.0,1.2132692337036133,100494.84732627869,100496.06059551239,0.4960605955123931,-0.0041731826938697925
2015-04-14,11.984417915344238,12.067316058713022,11.919443302174406,12.067316058713022,2583200,0,8355.0,1.2132692337036133,100129.81168270111,100131.02495193481,0.13102495193482167,-0.003632337839060251
2015-04-15,12.09307861328125,12.126686400142708,12.011300975763373,12.020263166217298,2560000,-1,0.0,101038.88508319855,0.0,101038.88508319855,1.0388850831985375,0.00906672164496003
2015-04-16,12.068437576293944,12.096443789048596,12.03931087571821,12.061715504049214,2086400,0,0.0,101038.88508319855,0.0,101038.88508319855,1.0388850831985375,0.0
2015-04-17,11.883597373962402,11.986660040212548,11.844388843832656,11.986660040212548,2243200,0,0.0,101038.88508319855,0.0,101038.88508319855,1.0388850831985375,0.0
2015-04-20,12.077400207519531,12.095324595848298,11.941850225840271,11.941850225840271,2413600,0,0.0,101038.88508319855,0.0,101038.88508319855,1.0388850831985375,0.0
2015-04-21,12.08747673034668,12.162533145193525,12.078514540749058,12.137887551140782,1724000,0,0.0,101038.88508319855,0.0,101038.88508319855,1.0388850831985375,0.0
2015-04-22,12.203989028930664,12.219672441607706,12.062837460155398,12.119970380439987,2055200,0,0.0,101038.88508319855,0.0,101038.88508319855,1.0388850831985375,0.0
2015-04-23,12.233111381530762,12.27904197315703,12.146852636464123,12.159175436428164,1908000,0,0.0,101038.88508319855,0.0,101038.88508319855,1.0388850831985375,0.0
2015-04-24,12.302569389343262,12.345138526029888,12.254398668103374,12.341777917170656,2027200,0,0.0,101038.88508319855,0.0,101038.88508319855,1.0388850831985375,0.0
2015-04-27,12.33057689666748,12.401152254162689,12.301450192361346,12.335057993843956,4808000,0,0.0,101038.88508319855,0.0,101038.88508319855,1.0388850831985375,0.0
2015-04-28,12.344017028808594,12.40226956782953,12.231992192114609,12.356339829219468,1901600,0,0.0,101038.88508319855,0.0,101038.88508319855,1.0388850831985375,0.0
2015-04-29,12.286883354187012,12.348497352387158,12.201744244314526,12.277921162688514,1815200,0,0.0,101038.88508319855,0.0,101038.88508319855,1.0388850831985375,0.0
2015-04-30,12.086359977722168,12.247676021601064,12.043790846001553,12.22190993221641,1813600,1,8359.0,9.002029418945312,101029.8830537796,101038.88508319855,1.0388850831985375,0.0
2015-05-01,12.240955352783203,12.240955352783203,12.116608551838556,12.126690378395498,2328800,0,8359.0,9.002029418945312,102322.1457939148,102331.14782333374,2.3311478233337457,0.012789756528598817
2015-05-04,12.249916076660156,12.31377020123951,12.244315347472105,12.265599485877422,1974400,0,8359.0,9.002029418945312,102397.04848480225,102406.05051422119,2.4060505142211808,0.0007319637518066191
2015-05-05,12.058353424072266,12.217428487986886,12.044910135904756,12.211827758928353,1913600,0,8359.0,9.002029418945312,100795.77627182007,100804.77830123901,0.8047783012390175,-0.015636500040198342
2015-05-06,11.990017890930176,12.130048933951748,11.904878777462194,12.082998708620098,2106400,0,8359.0,9.002029418945312,100224.55955028534,100233.56157970428,0.23356157970428892,-0.005666563938345637
2015-05-07,12.07628059387207,12.113248149166902,11.97769816726751,11.97769816726751,1782400,0,8359.0,9.002029418945312,100945.62948417664,100954.63151359558,0.954631513595583,0.007193897159065932
2015-05-08,12.24655532836914,12.256638008283222,12.191663396735514,12.196144492843809,1459200,0,8359.0,9.002029418945312,102368.95598983765,102377.95801925659,2.3779580192565986,0.014098674665256272
2015-05-11,12.198384284973145,12.259998286450378,12.197263797305832,12.239833781847071,3669600,0,8359.0,9.002029418945312,101966.29423809052,101975.29626750946,1.975296267509452,-0.003933090281712737
2015-05-12,12.134529113769531,12.184939943578769,12.031466479010172,12.137889721799269,1985600,0,8359.0,9.002029418945312,101432.52886199951,101441.53089141846,1.4415308914184521,-0.00523426158714746
2015-05-13,12.192784309387209,12.255518806805616,12.16701907241257,12.16701907241257,1553600,0,8359.0,9.002029418945312,101919.48404216768,101928.48607158662,1.9284860715866214,0.004800353227017107
2015-05-14,12.386587142944336,12.39330836018171,12.27008120096662,12.277922905970804,1894400,0,8359.0,9.002029418945312,103539.4819278717,103548.48395729065,3.54848395729066,0.01589347539770447
