Date,Close,High,Low,Open,Volume,Ma_20,Ma_50,Signal,Trade,Holding,Return_1d
2015-03-16,11.968731880187988,11.970972855307323,11.852226814430091,11.86118815086268,2652000,12.128706312179565,11.789741230010986,1,1,1,0.012029973206874045
2015-03-17,11.98105812072754,12.0034636049487,11.916084353190753,11.951932273262775,2145600,12.122320890426636,11.79581298828125,1,0,1,0.0010298702204163401
2015-03-18,12.125570297241213,12.171500898914823,11.918324482473388,11.95753301153511,1919200,12.12204089164734,11.808785495758057,1,0,1,0.012061720680885513
2015-03-19,12.115487098693848,12.155816111072015,12.09868320108932,12.122208315862965,2185600,12.118848133087159,11.824513816833496,1,0,1,-0.0008315648913980178
2015-03-20,12.184940338134766,12.242073240535069,12.16589632222854,12.167016809835266,2705600,12.115263223648071,11.839614734649658,1,0,1,0.005732599843088826
2015-03-23,12.18830394744873,12.244316372106708,12.18830394744873,12.193904677105465,2020800,12.111846494674683,11.849629745483398,1,0,1,0.00027604643277889807
2015-03-24,12.154699325561523,12.230876277180894,12.147978106345166,12.205110179048196,2642400,12.105237197875976,11.859577579498291,1,0,1,-0.0027571204354680523
2015-03-25,11.82086181640625,12.158056854800956,11.818621695462353,12.153575758231383,2816000,12.08507261276245,11.865806217193603,1,0,1,-0.02746571512906193
2015-03-26,11.828702926635742,11.876873643982968,11.6886718709382,11.750285877317811,3288000,12.061547374725341,11.872236442565917,1,0,1,0.000663328135568797
2015-03-27,11.857829093933104,11.885835303817068,11.772689976574986,11.825341787905906,2111200,12.042727088928222,11.88063829421997,1,0,1,0.0024623297649799536
2015-03-30,11.992262840270996,12.002344668462298,11.92952833102466,11.939611013897904,3564800,12.02485933303833,11.895223941802978,1,0,1,0.011337129694901193
2015-03-31,11.93288516998291,12.307048567137835,11.87575311892035,11.955290650020684,8274400,12.008783626556397,11.9064040184021,1,0,1,-0.004951331627646716
2015-04-01,11.837668418884276,11.893680856775864,11.76709305482639,11.885839149658322,3760000,11.990019512176513,11.913976955413819,1,0,1,-0.007979357024079259
2015-04-02,11.83654499053955,11.89255741047279,11.815259997466775,11.846626815880317,4303200,11.971423292160035,11.921101741790771,1,0,1,-9.490283939128652e-05
2015-04-06,11.9474458694458,11.96873000164935,11.731237957170183,11.77156695617258,2370400,11.965261745452882,11.926098003387452,1,0,1,0.009369362343055965
2015-04-07,11.934008598327637,12.026989440362147,11.934008598327637,11.936249574224451,3284800,11.955907678604126,11.930175800323486,1,0,1,-0.0011246982212765877
2015-04-08,11.976573944091797,12.01130136487386,11.885833258498891,11.885833258498891,1878400,11.960668563842773,11.935799407958985,1,0,1,0.003566726587588054
2015-04-09,12.025869369506836,12.032591442748538,11.921686208420518,11.97545852094458,1864800,11.971143007278442,11.949175186157227,1,0,1,0.004115987230167484
2015-04-10,12.078516006469728,12.078516006469728,11.994497391829652,12.011301285693976,1397600,11.98072099685669,11.963917541503907,1,0,1,0.004377782208110803
2015-04-13,12.02810764312744,12.134530901596282,12.022506059131516,12.0785184803639,2140800,11.990803384780884,11.975433673858642,1,0,1,-0.004173390449231373
2015-04-14,11.984417915344238,12.067316058713022,11.919443302174406,12.067316058713022,2583200,11.991587686538697,11.989257526397704,1,0,1,-0.0036323026929481195
2015-04-15,12.093077659606934,12.126685443818042,12.011300028538136,12.020262218285293,2560000,11.997188663482666,12.003282928466797,0,-1,0,0.009066751929901695
2015-04-16,12.068435668945312,12.09644187727374,12.039308972972886,12.061713597762967,2086400,11.99433193206787,12.013992500305175,0,0,0,-0.0020376939068149635
2015-04-17,11.88359546661377,11.986658116322086,11.844386942777096,11.986658116322086,2243200,11.982737350463868,12.020646781921387,0,0,0,-0.015316003449160953
2015-04-20,12.077399253845217,12.09532364075861,11.94184928286946,11.94184928286946,2413600,11.97736029624939,12.028824615478516,0,0,0,0.01630851435291003
2015-04-21,12.087480545043944,12.162536983577906,12.078518352617936,12.137891381747243,1724000,11.97231912612915,12.038145027160645,0,0,0,0.0008347236840346994
2015-04-22,12.203989028930664,12.219672441607706,12.062837460155398,12.119970380439987,2055200,11.974783611297607,12.050333461761475,0,0,0,0.00963877322925577
2015-04-23,12.233111381530762,12.27904197315703,12.146852636464123,12.159175436428164,1908000,11.995396089553832,12.05960906982422,0,0,0,0.002386297835163642
2015-04-24,12.302570343017578,12.345139483004091,12.25439961804358,12.341778873884351,2027200,12.019089460372925,12.069288082122803,0,0,0,0.005677947279355555
2015-04-27,12.330574035644531,12.401149376764373,12.301447338096567,12.33505513178127,4808000,12.042726707458495,12.075785541534424,0,0,0,0.002276247308176993
2015-04-28,12.344019889831545,12.402272442353906,12.231995027173104,12.35634269309852,1901600,12.060314559936524,12.08060266494751,0,0,0,0.0010904483561060552
2015-04-29,12.286885261535645,12.34849926930041,12.201746138446628,12.277923068645904,1815200,12.07801456451416,12.0841650390625,0,0,0,-0.004628526914718045
2015-04-30,12.086360931396484,12.247676988004024,12.043791796316947,12.221910896586296,1813600,12.09044919013977,12.083268852233887,1,1,1,-0.01632019229209425
2015-05-01,12.240957260131836,12.240957260131836,12.116610439811843,12.126692267939708,2328800,12.110669803619384,12.084501152038575,1,0,1,0.01279097402542062
2015-05-04,12.249917984008787,12.31377211853042,12.244317253948688,12.265601395668009,1974400,12.125793409347533,12.08436674118042,1,0,1,0.0007320280339624397
2015-05-05,12.058354377746582,12.217429454242174,12.044911088515867,12.211828724740688,1913600,12.132010698318481,12.08040105819702,1,0,1,-0.015637950108096654
2015-05-06,11.990019798278809,12.130050863576248,11.904880671267064,12.08300063075994,2106400,12.132682991027831,12.074463748931885,1,0,1,-0.005666990480382883
2015-05-07,12.076279640197754,12.113247192573224,11.977697221378332,11.977697221378332,1782400,12.135203504562378,12.071506271362304,1,0,1,0.007194303543295977
2015-05-08,12.246557235717772,12.25663991720219,12.191665295534964,12.196146392341168,1459200,12.14360556602478,12.070453262329101,1,0,1,0.01410016996900465
2015-05-11,12.198383331298828,12.259997327959056,12.197262843719114,12.239832824932218,3669600,12.152119350433349,12.069736232757569,1,0,1,-0.00393366915221216
2015-05-12,12.13453197479248,12.184942816487348,12.03146931573349,12.137892583614564,1985600,12.159625053405762,12.065434513092042,1,0,1,-0.0052344113783108215
2015-05-13,12.19278049468994,12.255514972480912,12.16701526577635,12.16701526577635,1553600,12.164610195159913,12.064202136993408,1,0,1,0.00480022797899915
2015-05-14,12.386587142944336,12.39330836018171,12.27008120096662,12.277922905970804,1894400,12.180517768859863,12.067674865722656,1,0,1,0.015895197025715513
2015-05-15,12.351858139038086,12.425794083265163,12.32273144358784,12.422433475075064,1465600,12.20393090248108,12.070542640686035,1,0,1,-0.0028037588970608596
2015-05-18,12.415714263916016,12.438118891922928,12.310410631983626,12.328335018134574,2245600,12.22084665298462,12.077443389892577,1,0,1,0.005169758603048802
2015-05-19,12.400030136108398,12.450440973548876,12.385466359532735,12.425795371357808,1998400,12.236474132537841,12.083022193908691,1,0,1,-0.0012632481284786667
2015-05-20,12.396668434143066,12.460522554787,12.351858329991858,12.411231354752507,1648000,12.246108102798463,12.093328437805177,1,0,1,-0.0002711043383308853
2015-05-21,12.439237594604492,12.45604149053908,12.361940186114383,12.37874408204897,1892800,12.256414413452148,12.105785579681397,1,0,1,0.0034339194185577515
2015-05-22,12.443717002868652,12.473963327703547,12.42579262172091,12.42579262172091,1516800,12.263471746444703,12.116920795440674,1,0,1,0.00036010311967205055
2015-05-26,12.271202087402344,12.422435462928783,12.221910880242229,12.401150468076596,2333600,12.260503149032592,12.12581563949585,1,0,1,-0.01386361610654907
2015-05-27,12.480687141418455,12.4963705497728,12.292485386484689,12.304807331893112,2331200,12.267336511611939,12.13605474472046,1,0,1,0.017071274071117193
2015-05-28,12.473966598510742,12.48516891232468,12.43475807282108,12.46612489337281,1590400,12.276690578460693,12.145912914276122,1,0,1,-0.0005384753925454788
2015-05-29,12.387707710266112,12.473966465866114,12.351859793633654,12.4627641521713,1908000,12.291757917404174,12.15115566253662,1,0,1,-0.00691511297255909
2015-06-01,12.424674987792969,12.463883509509603,12.337294897662314,12.432516692136296,6289600,12.30094380378723,12.157339420318603,1,0,1,0.0029841903273373216
2015-06-02,12.395547866821287,12.45492089120028,12.31264973021751,12.4078706667507,1840800,12.308225297927857,12.161551570892334,1,0,1,-0.0023442964101917374
2015-06-03,12.441476821899414,12.495249114092852,12.411230495134198,12.459401204191089,1481600,12.327381420135499,12.166615028381347,1,0,1,0.003705278344417806
2015-06-04,12.324974060058594,12.432518672010197,12.29248760452112,12.40451245851238,1685600,12.344129133224488,12.170020523071289,1,0,1,-0.009364062121287153
2015-06-05,12.320490837097168,12.341774973022217,12.240952457887555,12.308168037765064,1622400,12.356339693069458,12.180013103485107,1,0,1,-0.00036375110727049353
2015-06-08,12.165898323059082,12.333935595075594,12.140133086638338,12.333935595075594,1660000,12.352306747436524,12.186757011413574,1,0,1,-0.012547593767336385
