Date,Close,High,Low,Open,Volume,BB_Middle,BB_Upper,BB_Lower,Signal,Trade
2015-01-30,11.293221473693848,11.48478380727628,11.27977904271499,11.410847872847992,3404800,11.492796611785888,11.784008159093222,11.201585064478554,0,0
2015-02-02,11.391804695129396,11.400766031545729,11.137507864485846,11.314507292602617,29252800,11.47851333618164,11.759950937637948,11.197075734725333,0,0
2015-02-03,11.532957077026367,11.537438173242917,11.406369313965246,11.427654307323431,3702400,11.481313848495484,11.763746292510294,11.198881404480673,0,0
2015-02-04,11.550881385803224,11.628178799336531,11.52175468792837,11.53407748877228,3239200,11.49240427017212,11.767374388499643,11.217434151844596,0,0
2015-02-05,11.668509483337402,11.672989725485092,11.575528647158992,11.612497054991156,2684000,11.50433521270752,11.78799027551965,11.22068014989539,0,0
2015-02-06,11.62145709991455,11.737963040463582,11.586729671704976,11.705475733078412,2925600,11.50103039741516,11.777519517421473,11.224541277408848,0,0
2015-02-09,11.59457302093506,11.65170593889986,11.575528999840742,11.59009192396901,2535200,11.497893714904786,11.768582591865316,11.227204837944255,0,0
2015-02-10,11.769330978393556,11.783894756522088,11.631540885534058,11.68419270406869,2587200,11.510888576507568,11.806364473214577,11.21541267980056,0,0
2015-02-11,11.81861972808838,11.846625935974846,11.762607312315447,11.782771816180968,2228800,11.52645993232727,11.850918091950396,11.202001772704145,0,0
2015-02-12,12.00570297241211,12.011304556786238,11.907121412072623,11.912722141764972,2700000,11.554858207702637,11.937490788931274,11.172225626473999,0,0
2015-02-13,12.10316276550293,12.10316276550293,12.018023655182862,12.052751079070076,2482400,11.596867561340332,12.023994060353502,11.169741062327162,0,0
2015-02-17,12.108769416809082,12.118852100899913,12.070681366133169,12.105408807006151,2540000,11.633611869812011,12.102120963011485,11.165102776612537,0,0
2015-02-18,12.131168365478516,12.134528973469395,12.076276440703763,12.098681063764026,2045600,11.667219257354736,12.175548890977613,11.15888962373186,0,0
2015-02-19,12.17934226989746,12.189424096515385,12.096444117205705,12.111007040547747,1850400,11.702170848846436,12.248961097686776,11.155380600006096,0,0
2015-02-20,12.256637573242188,12.261117814509769,12.119967138176206,12.188302355709196,2027200,11.730121040344239,12.327897985395554,11.132344095292924,0,0
