Date,Close,High,Low,Open,Volume,Ma_20,Ma_50,Signal,Trade,Holding,Return_1d
2015-03-16,11.968735694885254,11.970976670718835,11.85223059199464,11.8611919312834,2652000,12.128705310821534,11.789741096496583,1,1,1,0.012030050935634362
2015-03-17,11.98105812072754,12.0034636049487,11.916084353190753,11.951932273262775,2145600,12.122320127487182,11.79581293106079,1,0,1,0.00102955117035064
2015-03-18,12.125569343566896,12.171499941628072,11.918323545098923,11.957532071076905,1919200,12.12204008102417,11.808785438537598,1,0,1,0.012061641082380392
2015-03-19,12.115484237670898,12.155813240525536,12.098680344034545,12.122205453252828,2185600,12.118847179412843,11.824513664245606,1,0,1,-0.0008317222565180638
2015-03-20,12.184941291809082,12.242074198680983,12.165897274412345,12.167017762106768,2705600,12.115262460708617,11.839614562988281,1,0,1,0.005732916058131643
2015-03-23,12.188300132751465,12.244312539878663,12.188300132751465,12.19390086065528,2020800,12.111845684051513,11.849629554748535,1,0,1,0.0002756550780134148
2015-03-24,12.154692649841309,12.230869559622043,12.147971434316442,12.20510347564085,2642400,12.105236148834228,11.859577293395995,1,0,1,-0.0027573560335825142
2015-03-25,11.820860862731934,12.15805587392268,11.818620741968765,12.153574777714631,2816000,12.085071849822999,11.865805797576904,1,0,1,-0.027465259445596413
2015-03-26,11.828706741333008,11.876877474215048,11.688675640476152,11.750289666725973,3288000,12.061546850204468,11.87223611831665,1,0,1,0.0006637315752366924
2015-03-27,11.857828140258787,11.885834347890333,11.772689029748044,11.825340836844404,2111200,12.042726516723633,11.880637950897217,1,0,1,0.0024619258523013166
2015-03-30,11.99226188659668,12.002343713986232,11.92952738233925,11.939610064410678,3564800,12.024858903884887,11.895223598480225,1,0,1,0.011337130606698054
2015-03-31,11.932887077331545,12.30705053429263,11.875755017137015,11.955292560950602,8274400,12.008783388137818,11.906403713226318,1,0,1,-0.0049510934489761516
2015-04-01,11.83766269683838,11.893675107654891,11.767087366894934,11.885833404327842,3760000,11.990019035339355,11.913976516723633,1,0,1,-0.007979995107307958
2015-04-02,11.836545944213867,11.892558368660048,11.815260949426154,11.846627770366933,4303200,11.971422910690308,11.921101284027099,1,0,1,-9.433894621879713e-05
2015-04-06,11.947449684143066,11.96873382314242,11.731241702834476,11.771570714713508,2370400,11.965261507034302,11.926097564697265,1,0,1,0.009369603299129059
2015-04-07,11.934004783630373,12.02698559594362,11.934004783630373,11.93624575881086,3284800,11.955907440185547,11.93017526626587,1,0,1,-0.0011253364415116929
2015-04-08,11.976574897766112,12.011302321313462,11.885834204947685,11.885834204947685,1878400,11.960668420791626,11.935798892974853,1,0,1,0.003567127289418437
2015-04-09,12.02586841583252,12.03259048854115,11.921685263008124,11.97545757126794,1864800,11.971142673492432,11.94917465209961,1,0,1,0.0041158276458157506
2015-04-10,12.07851505279541,12.07851505279541,11.994496444789132,12.011300337326682,1397600,11.980720520019531,11.963916988372803,1,0,1,0.004377782555277099
